ID,innings,overs,total_run
1304047,1,0,3
1304047,1,1,5
1304047,1,2,8
1304047,1,3,12
1304047,1,4,1
1304047,1,5,6
1304047,1,6,5
1304047,1,7,10
1304047,1,8,3
1304047,1,9,4
1304047,1,10,4
1304047,1,11,3
1304047,1,12,2
1304047,1,13,3
1304047,1,14,4
1304047,1,15,8
1304047,1,16,3
1304047,1,17,14
1304047,1,18,15
1304047,1,19,18
1304047,2,0,6
1304047,2,1,2
1304047,2,2,7
1304047,2,3,10
1304047,2,4,10
1304047,2,5,8
1304047,2,6,1
1304047,2,7,15
1304047,2,8,11
1304047,2,9,6
1304047,2,10,7
1304047,2,11,7
1304047,2,12,3
1304047,2,13,5
1304047,2,14,6
1304047,2,15,9
1304047,2,16,9
1304047,2,17,4
1304047,2,18,7
1304048,1,0,10
1304048,1,1,6
1304048,1,2,9
1304048,1,3,7
1304048,1,4,16
1304048,1,5,5
1304048,1,6,3
1304048,1,7,9
1304048,1,8,4
1304048,1,9,10
1304048,1,10,6
1304048,1,11,6
1304048,1,12,13
1304048,1,13,9
1304048,1,14,5
1304048,1,15,5
1304048,1,16,14
1304048,1,17,11
1304048,1,18,11
1304048,1,19,18
1304048,2,0,12
1304048,2,1,9
1304048,2,2,9
1304048,2,3,1
1304048,2,4,9
1304048,2,5,6
1304048,2,6,12
1304048,2,7,4
1304048,2,8,8
1304048,2,9,7
1304048,2,10,14
1304048,2,11,3
1304048,2,12,9
1304048,2,13,10
1304048,2,14,9
1304048,2,15,15
1304048,2,16,13
1304048,2,17,24
1304048,2,18,5
1304049,1,0,1
1304049,1,1,11
1304049,1,2,11
1304049,1,3,2
1304049,1,4,6
1304049,1,5,10
1304049,1,6,9
1304049,1,7,4
1304049,1,8,3
1304049,1,9,13
1304049,1,10,8
1304049,1,11,14
1304049,1,12,23
1304049,1,13,21
1304049,1,14,6
1304049,1,15,16
1304049,1,16,10
1304049,1,17,3
1304049,1,18,18
1304049,1,19,16
1304049,2,0,7
1304049,2,1,15
1304049,2,2,6
1304049,2,3,14
1304049,2,4,15
1304049,2,5,6
1304049,2,6,8
1304049,2,7,4
1304049,2,8,9
1304049,2,9,13
1304049,2,10,19
1304049,2,11,6
1304049,2,12,17
1304049,2,13,6
1304049,2,14,11
1304049,2,15,6
1304049,2,16,8
1304049,2,17,25
1304049,2,18,13
1304050,1,0,2
1304050,1,1,7
1304050,1,2,5
1304050,1,3,12
1304050,1,4,3
1304050,1,5,3
1304050,1,6,1
1304050,1,7,3
1304050,1,8,6
1304050,1,9,5
1304050,1,10,11
1304050,1,11,5
1304050,1,12,17
1304050,1,13,10
1304050,1,14,19
1304050,1,15,7
1304050,1,16,8
1304050,1,17,15
1304050,1,18,10
1304050,1,19,9
1304050,2,0,7
1304050,2,1,8
1304050,2,2,10
1304050,2,3,10
1304050,2,4,4
1304050,2,5,5
1304050,2,6,2
1304050,2,7,9
1304050,2,8,9
1304050,2,9,8
1304050,2,10,3
1304050,2,11,4
1304050,2,12,4
1304050,2,13,5
1304050,2,14,3
1304050,2,15,22
1304050,2,16,17
1304050,2,17,9
1304050,2,18,9
1304050,2,19,13
1304051,1,0,1
1304051,1,1,5
1304051,1,2,7
1304051,1,3,21
1304051,1,4,18
1304051,1,5,6
1304051,1,6,2
1304051,1,7,15
1304051,1,8,3
1304051,1,9,9
1304051,1,10,14
1304051,1,11,13
1304051,1,12,7
1304051,1,13,17
1304051,1,14,10
1304051,1,15,15
1304051,1,16,7
1304051,1,17,18
1304051,1,18,15
1304051,1,19,7
1304051,2,0,2
1304051,2,1,1
1304051,2,2,4
1304051,2,3,0
1304051,2,4,6
1304051,2,5,1
1304051,2,6,7
1304051,2,7,7
1304051,2,8,4
1304051,2,9,4
1304051,2,10,3
1304051,2,11,5
1304051,2,12,11
1304051,2,13,17
1304051,2,14,5
1304051,2,15,4
1304051,2,16,24
1304051,2,17,14
1304051,2,18,15
1304051,2,19,15
1304052,1,0,4
1304052,1,1,6
1304052,1,2,4
1304052,1,3,11
1304052,1,4,7
1304052,1,5,12
1304052,1,6,2
1304052,1,7,12
1304052,1,8,9
1304052,1,9,9
1304052,1,10,7
1304052,1,11,0
1304052,1,12,16
1304052,1,13,0
1304052,1,14,2
1304052,1,15,3
1304052,1,16,6
1304052,1,17,8
1304052,1,18,10
1304052,2,0,10
1304052,2,1,7
1304052,2,2,5
1304052,2,3,2
1304052,2,4,1
1304052,2,5,11
1304052,2,6,4
1304052,2,7,12
1304052,2,8,1
1304052,2,9,6
1304052,2,10,3
1304052,2,11,8
1304052,2,12,15
1304052,2,13,4
1304052,2,14,4
1304052,2,15,8
1304052,2,16,4
1304052,2,17,7
1304052,2,18,10
1304052,2,19,10
1304053,1,0,14
1304053,1,1,12
1304053,1,2,2
1304053,1,3,11
1304053,1,4,18
1304053,1,5,16
1304053,1,6,9
1304053,1,7,5
1304053,1,8,12
1304053,1,9,7
1304053,1,10,6
1304053,1,11,6
1304053,1,12,12
1304053,1,13,6
1304053,1,14,11
1304053,1,15,15
1304053,1,16,10
1304053,1,17,16
1304053,1,18,11
1304053,1,19,11
1304053,2,0,2
1304053,2,1,9
1304053,2,2,13
1304053,2,3,12
1304053,2,4,15
1304053,2,5,4
1304053,2,6,11
1304053,2,7,14
1304053,2,8,10
1304053,2,9,8
1304053,2,10,8
1304053,2,11,8
1304053,2,12,8
1304053,2,13,15
1304053,2,14,7
1304053,2,15,12
1304053,2,16,9
1304053,2,17,12
1304053,2,18,25
1304053,2,19,9
1304054,1,0,2
1304054,1,1,5
1304054,1,2,14
1304054,1,3,22
1304054,1,4,8
1304054,1,5,11
1304054,1,6,3
1304054,1,7,5
1304054,1,8,8
1304054,1,9,7
1304054,1,10,1
1304054,1,11,6
1304054,1,12,5
1304054,1,13,5
1304054,1,14,0
1304054,1,15,2
1304054,1,16,16
1304054,1,17,17
1304054,1,18,0
1304054,2,0,8
1304054,2,1,6
1304054,2,2,11
1304054,2,3,8
1304054,2,4,9
1304054,2,5,9
1304054,2,6,0
1304054,2,7,3
1304054,2,8,2
1304054,2,9,17
1304054,2,10,6
1304054,2,11,30
1304054,2,12,5
1304054,2,13,14
1304054,2,14,13
1304055,1,0,4
1304055,1,1,8
1304055,1,2,5
1304055,1,3,26
1304055,1,4,4
1304055,1,5,1
1304055,1,6,7
1304055,1,7,11
1304055,1,8,7
1304055,1,9,14
1304055,1,10,21
1304055,1,11,7
1304055,1,12,8
1304055,1,13,6
1304055,1,14,9
1304055,1,15,6
1304055,1,16,26
1304055,1,17,12
1304055,1,18,3
1304055,1,19,8
1304055,2,0,4
1304055,2,1,15
1304055,2,2,5
1304055,2,3,16
1304055,2,4,5
1304055,2,5,5
1304055,2,6,11
1304055,2,7,6
1304055,2,8,15
1304055,2,9,12
1304055,2,10,7
1304055,2,11,11
1304055,2,12,9
1304055,2,13,8
1304055,2,14,7
1304055,2,15,1
1304055,2,16,7
1304055,2,17,11
1304055,2,18,10
1304055,2,19,5
1304056,1,0,7
1304056,1,1,7
1304056,1,2,5
1304056,1,3,9
1304056,1,4,10
1304056,1,5,6
1304056,1,6,7
1304056,1,7,2
1304056,1,8,5
1304056,1,9,8
1304056,1,10,9
1304056,1,11,14
1304056,1,12,9
1304056,1,13,11
1304056,1,14,11
1304056,1,15,16
1304056,1,16,9
1304056,1,17,10
1304056,1,18,12
1304056,1,19,4
1304056,2,0,8
1304056,2,1,2
1304056,2,2,10
1304056,2,3,12
1304056,2,4,2
1304056,2,5,9
1304056,2,6,11
1304056,2,7,9
1304056,2,8,8
1304056,2,9,8
1304056,2,10,7
1304056,2,11,14
1304056,2,12,5
1304056,2,13,13
1304056,2,14,8
1304056,2,15,8
1304056,2,16,8
1304056,2,17,3
1304056,2,18,3
1304056,2,19,9
1304057,1,0,8
1304057,1,1,9
1304057,1,2,10
1304057,1,3,4
1304057,1,4,26
1304057,1,5,15
1304057,1,6,10
1304057,1,7,7
1304057,1,8,7
1304057,1,9,13
1304057,1,10,6
1304057,1,11,8
1304057,1,12,8
1304057,1,13,11
1304057,1,14,5
1304057,1,15,5
1304057,1,16,9
1304057,1,17,5
1304057,1,18,10
1304057,1,19,4
1304057,2,0,5
1304057,2,1,5
1304057,2,2,6
1304057,2,3,5
1304057,2,4,1
1304057,2,5,5
1304057,2,6,9
1304057,2,7,2
1304057,2,8,3
1304057,2,9,12
1304057,2,10,8
1304057,2,11,8
1304057,2,12,3
1304057,2,13,18
1304057,2,14,8
1304057,2,15,9
1304057,2,16,14
1304057,2,17,5
1304058,1,0,3
1304058,1,1,5
1304058,1,2,8
1304058,1,3,1
1304058,1,4,10
