ID,batter,non-striker,batsman_run
1304047,AM Rahane,N Rana,8
1304047,AM Rahane,SS Iyer,9
1304047,AM Rahane,VR Iyer,27
1304047,AT Rayudu,RA Jadeja,1
1304047,AT Rayudu,RV Uthappa,14
1304047,DP Conway,RV Uthappa,3
1304047,MS Dhoni,RA Jadeja,50
1304047,N Rana,AM Rahane,21
1304047,RA Jadeja,AT Rayudu,2
1304047,RA Jadeja,MS Dhoni,18
1304047,RA Jadeja,S Dube,6
1304047,RD Gaikwad,DP Conway,0
1304047,RV Uthappa,AT Rayudu,6
1304047,RV Uthappa,DP Conway,22
1304047,S Dube,RA Jadeja,3
1304047,SP Jackson,SS Iyer,3
1304047,SS Iyer,AM Rahane,2
1304047,SS Iyer,SP Jackson,7
1304047,SS Iyer,SW Billings,11
1304047,SW Billings,SS Iyer,25
1304047,VR Iyer,AM Rahane,16
1304048,AR Patel,Lalit Yadav,38
1304048,Anmolpreet Singh,Ishan Kishan,8
1304048,DR Sams,Ishan Kishan,7
1304048,Ishan Kishan,Anmolpreet Singh,8
1304048,Ishan Kishan,DR Sams,10
1304048,Ishan Kishan,KA Pollard,2
1304048,Ishan Kishan,RG Sharma,25
1304048,Ishan Kishan,TH David,24
1304048,Ishan Kishan,Tilak Varma,12
1304048,KA Pollard,Ishan Kishan,3
1304048,Lalit Yadav,AR Patel,31
1304048,Lalit Yadav,PP Shaw,7
1304048,Lalit Yadav,SN Thakur,10
1304048,Mandeep Singh,PP Shaw,0
1304048,PP Shaw,Lalit Yadav,31
1304048,PP Shaw,TL Seifert,7
1304048,R Powell,Lalit Yadav,0
1304048,RG Sharma,Ishan Kishan,41
1304048,RR Pant,PP Shaw,1
1304048,SN Thakur,Lalit Yadav,22
1304048,TH David,Ishan Kishan,12
1304048,TL Seifert,PP Shaw,21
1304048,Tilak Varma,Ishan Kishan,22
1304049,Anuj Rawat,F du Plessis,21
1304049,F du Plessis,Anuj Rawat,13
1304049,F du Plessis,V Kohli,75
1304049,KD Karthik,V Kohli,32
1304049,LS Livingstone,M Shahrukh Khan,11
1304049,LS Livingstone,PBB Rajapaksa,8
1304049,M Shahrukh Khan,LS Livingstone,3
1304049,M Shahrukh Khan,OF Smith,21
1304049,MA Agarwal,S Dhawan,32
